Company Name,City / Location,Job Title,Experience Required,Required Skills,Salary Range,Job Posting Link / URL,Source Platform,Posting Date,Company Website,Company Size / Industry,Search Keyword Used,Application Status,extracted_email,status
r3 Consultant,Jaipur,Revenue Operations Specialist,Not Applicable,"SQL, Excel, Python, ETL, Reporting, Data Visualization",Not Mentioned,https://in.linkedin.com/jobs/view/revenue-operations-specialist-at-r3-consultant-4303514511,LinkedIn,9 months ago,Not Mentioned,Full-time | Staffing and Recruiting,Data Analyst,Not Applied,,FAILED_TO_LOAD
Biz4Group LLC,Jaipur,AI Engineer,Entry level,"SQL, Python",Not Mentioned,https://in.linkedin.com/jobs/view/ai-engineer-at-biz4group-llc-4173056784,LinkedIn,1 year ago,Not Mentioned,Full-time | IT System Custom Software Development and Software Development,Data Analyst,Not Applied,,FAILED_TO_LOAD
r3 Consultant,Jaipur,Lead Data Engineer,Not Applicable,"SQL, Python, ETL",40-50 LPA,https://in.linkedin.com/jobs/view/lead-data-engineer-at-r3-consultant-4386968580,LinkedIn,3 months ago,Not Mentioned,Full-time | Staffing and Recruiting,Data Analyst,Not Applied,,FAILED_TO_LOAD
Durapid Technologies Private Limited,Jaipur,Python AI/ML Intern,Entry level,Python,Not Mentioned,https://in.linkedin.com/jobs/view/python-ai-ml-intern-at-durapid-technologies-private-limited-4424329865,LinkedIn,1 month ago,Not Mentioned,Full-time | IT Services and IT Consulting,Data Analyst,Not Applied,,FAILED_TO_LOAD
UiPath,Jaipur,Senior Forward Deployed Scientist,Not Applicable,"SQL, Python, R, Statistics, Data Visualization",Not Mentioned,https://in.linkedin.com/jobs/view/senior-forward-deployed-scientist-at-uipath-4371957148,LinkedIn,1 week ago,Not Mentioned,Full-time | Software Development,Data Analyst,Not Applied,,FAILED_TO_LOAD
AH International Private Limited,Jaipur,Manager,Mid-Senior level,"SQL, Python",Not Mentioned,https://in.linkedin.com/jobs/view/manager-at-ah-international-private-limited-4417886151,LinkedIn,1 month ago,Not Mentioned,Full-time | Hospitality,Data Analyst,Not Applied,,FAILED_TO_LOAD
PAR Technology,Jaipur,Senior Functional Analyst - Salesforce ( Pacific Time Zone),Not Applicable,Reporting,Not Mentioned,https://in.linkedin.com/jobs/view/senior-functional-analyst-salesforce-pacific-time-zone-at-par-technology-4319514731,LinkedIn,1 week ago,Not Mentioned,Full-time | Software Development,Data Analyst,Not Applied,,FAILED_TO_LOAD
Biz4Group LLC,Jaipur,Technical Lead,Not Applicable,Reporting,Not Mentioned,https://in.linkedin.com/jobs/view/technical-lead-at-biz4group-llc-4415059782,LinkedIn,1 month ago,Not Mentioned,Full-time | Software Development,Data Analyst,Not Applied,,FAILED_TO_LOAD
Accenture in India,Jaipur,Record to Report Ops Senior Analyst,Mid-Senior level,Reporting,Not Mentioned,https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4412198733,LinkedIn,1 week ago,Not Mentioned,Full-time | Business Consulting and Services,Data Analyst,Not Applied,,FAILED_TO_LOAD
MetLife,Jaipur,Team Leader - Quality Analyst,Not Applicable,"Excel, Statistics, Reporting",Not Mentioned,https://in.linkedin.com/jobs/view/team-leader-quality-analyst-at-metlife-4430481713,LinkedIn,2 weeks ago,Not Mentioned,Full-time | Insurance,Data Analyst,Not Applied,,FAILED_TO_LOAD
Accenture in India,Jaipur,Record to Report Ops Senior Analyst,Mid-Senior level,Reporting,Not Mentioned,https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4412412318,LinkedIn,1 week ago,Not Mentioned,Full-time | Business Consulting and Services,Data Analyst,Not Applied,,FAILED_TO_LOAD
Appbay technologies,Jaipur,Associate Appian Developer,Not Applicable,"SQL, Reporting",Not Mentioned,https://in.linkedin.com/jobs/view/associate-appian-developer-at-appbay-technologies-4410172887,LinkedIn,1 month ago,Not Mentioned,Full-time | Information Technology & Services,Data Analyst,Not Applied,,FAILED_TO_LOAD
RWS Group,Jaipur,Speech AI Evaluation Specialist,Associate,Not Mentioned,Not Mentioned,https://in.linkedin.com/jobs/view/speech-ai-evaluation-specialist%C2%A0-at-rws-group-4431767782,LinkedIn,2 weeks ago,Not Mentioned,Contract | Translation and Localization,Data Analyst,Not Applied,,FAILED_TO_LOAD
Accenture in India,Jaipur,Record to Report Ops Senior Analyst,Mid-Senior level,Reporting,Not Mentioned,https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4411232359,LinkedIn,1 week ago,Not Mentioned,Full-time | Business Consulting and Services,Data Analyst,Not Applied,,FAILED_TO_LOAD
Accenture in India,Jaipur,Record to Report Ops Senior Analyst,Mid-Senior level,Reporting,Not Mentioned,https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4412413219,LinkedIn,1 week ago,Not Mentioned,Full-time | Business Consulting and Services,Data Analyst,Not Applied,,FAILED_TO_LOAD
Accenture in India,Jaipur,Recruiting Senior Analyst,Mid-Senior level,Not Mentioned,Not Mentioned,https://in.linkedin.com/jobs/view/recruiting-senior-analyst-at-accenture-in-india-4346702156,LinkedIn,4 days ago,Not Mentioned,Full-time | Human Resources,Data Analyst,Not Applied,,FAILED_TO_LOAD
Accenture in India,Jaipur,Record to Report Ops Senior Analyst,Mid-Senior level,Reporting,Not Mentioned,https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4377404484,LinkedIn,1 week ago,Not Mentioned,Full-time | Business Consulting and Services,Data Analyst,Not Applied,,FAILED_TO_LOAD
Accenture in India,Jaipur,Record to Report Ops Senior Analyst,Mid-Senior level,Reporting,Not Mentioned,https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4432472433,LinkedIn,1 week ago,Not Mentioned,Full-time | Business Consulting and Services,Data Analyst,Not Applied,,FAILED_TO_LOAD
Accenture in India,Jaipur,Record to Report Ops Senior Analyst,Mid-Senior level,Reporting,Not Mentioned,https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4411230345,LinkedIn,1 week ago,Not Mentioned,Full-time | Business Consulting and Services,Data Analyst,Not Applied,,FAILED_TO_LOAD
Accenture in India,Jaipur,Record to Report Ops Senior Analyst,Mid-Senior level,Reporting,Not Mentioned,https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4412407410,LinkedIn,1 week ago,Not Mentioned,Full-time | Business Consulting and Services,Data Analyst,Not Applied,,FAILED_TO_LOAD
Accenture in India,Jaipur,Record to Report Ops Senior Analyst,Mid-Senior level,Reporting,Not Mentioned,https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4412194985,LinkedIn,1 week ago,Not Mentioned,Full-time | Business Consulting and Services,Data Analyst,Not Applied,,FAILED_TO_LOAD
ListenFirst,Jaipur,Business Analyst,Associate,"R, Reporting, Data Visualization",Not Mentioned,https://in.linkedin.com/jobs/view/business-analyst-at-listenfirst-4437037953,LinkedIn,3 hours ago,Not Mentioned,Full-time | Marketing Services,Data Analyst,Not Applied,,FAILED_TO_LOAD
Accenture in India,Jaipur,Record to Report Ops Senior Analyst,Mid-Senior level,Reporting,Not Mentioned,https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4412408361,LinkedIn,1 week ago,Not Mentioned,Full-time | Business Consulting and Services,Data Analyst,Not Applied,,FAILED_TO_LOAD
EPAM Systems,Jaipur,Lead/Sr MLOps Engineer - Domino Data Lab,Mid-Senior level,"Python, R",Not Mentioned,https://in.linkedin.com/jobs/view/lead-sr-mlops-engineer-domino-data-lab-at-epam-systems-4431586213,LinkedIn,1 week ago,Not Mentioned,Full-time | Software Development and IT Services and IT Consulting,Data Analyst,Not Applied,,SKIPPED_NO_EMAIL
Accenture in India,Jaipur,Record to Report Ops Senior Analyst,Mid-Senior level,Reporting,Not Mentioned,https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4432476318,LinkedIn,1 week ago,Not Mentioned,Full-time | Business Consulting and Services,Data Analyst,Not Applied,,SKIPPED_NO_EMAIL
Accenture in India,Jaipur,Record to Report Ops Senior Analyst,Mid-Senior level,Reporting,Not Mentioned,https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4412401487,LinkedIn,1 week ago,Not Mentioned,Full-time | Business Consulting and Services,Data Analyst,Not Applied,,SKIPPED_NO_EMAIL
Accenture in India,Jaipur,Record to Report Ops Senior Analyst,Mid-Senior level,Reporting,Not Mentioned,https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4412401488,LinkedIn,1 week ago,Not Mentioned,Full-time | Business Consulting and Services,Data Analyst,Not Applied,,SKIPPED_NO_EMAIL
Accenture in India,Jaipur,Record to Report Ops Senior Analyst,Mid-Senior level,Reporting,Not Mentioned,https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4412413218,LinkedIn,1 week ago,Not Mentioned,Full-time | Business Consulting and Services,Data Analyst,Not Applied,,SKIPPED_NO_EMAIL
Accenture in India,Jaipur,Record to Report Ops Senior Analyst,Mid-Senior level,Reporting,Not Mentioned,https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4412413217,LinkedIn,1 week ago,Not Mentioned,Full-time | Business Consulting and Services,Data Analyst,Not Applied,,SKIPPED_NO_EMAIL
Accenture in India,Jaipur,Record to Report Ops Senior Analyst,Mid-Senior level,Reporting,Not Mentioned,https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4412410346,LinkedIn,1 week ago,Not Mentioned,Full-time | Business Consulting and Services,Data Analyst,Not Applied,,FAILED_TO_LOAD
Accenture in India,Jaipur,Record to Report Ops Senior Analyst,Mid-Senior level,Reporting,Not Mentioned,https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4412410341,LinkedIn,1 week ago,Not Mentioned,Full-time | Business Consulting and Services,Data Analyst,Not Applied,,SKIPPED_NO_EMAIL
Accenture in India,Jaipur,Record to Report Ops Senior Analyst,Mid-Senior level,Reporting,Not Mentioned,https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4412409381,LinkedIn,1 week ago,Not Mentioned,Full-time | Business Consulting and Services,Data Analyst,Not Applied,,SKIPPED_NO_EMAIL
Accenture in India,Jaipur,Record to Report Ops Senior Analyst,Mid-Senior level,Reporting,Not Mentioned,https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4412409377,LinkedIn,1 week ago,Not Mentioned,Full-time | Business Consulting and Services,Data Analyst,Not Applied,,SKIPPED_NO_EMAIL
Accenture in India,Jaipur,Record to Report Ops Senior Analyst,Mid-Senior level,Reporting,Not Mentioned,https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4412408360,LinkedIn,1 week ago,Not Mentioned,Full-time | Business Consulting and Services,Data Analyst,Not Applied,,FAILED_TO_LOAD
Accenture in India,Jaipur,Record to Report Ops Senior Analyst,Mid-Senior level,Reporting,Not Mentioned,https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4411216543,LinkedIn,1 week ago,Not Mentioned,Full-time | Business Consulting and Services,Data Analyst,Not Applied,,FAILED_TO_LOAD
Accenture in India,Jaipur,Record to Report Ops Senior Analyst,Mid-Senior level,Reporting,Not Mentioned,https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4411215497,LinkedIn,1 week ago,Not Mentioned,Full-time | Business Consulting and Services,Data Analyst,Not Applied,,FAILED_TO_LOAD
Accenture in India,Jaipur,Record to Report Ops Senior Analyst,Mid-Senior level,Reporting,Not Mentioned,https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4411215496,LinkedIn,1 week ago,Not Mentioned,Full-time | Business Consulting and Services,Data Analyst,Not Applied,,FAILED_TO_LOAD
